t=2026-05-22T20:15:46+0300 lvl=info msg="no configuration paths supplied"
t=2026-05-22T20:15:46+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\user\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-22T20:15:46+0300 lvl=info msg="open config file" path=C:\\Users\\user\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-22T20:15:46+0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-22T20:15:46+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-22T20:15:46+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-22T20:15:47+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-22T20:15:47+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:4173 url=https://a613-45-15-128-171.ngrok-free.app
t=2026-05-22T20:15:56+0300 lvl=info msg=start pg=/api/tunnels id=383bb80cfe9fd721
t=2026-05-22T20:15:56+0300 lvl=info msg=end pg=/api/tunnels id=383bb80cfe9fd721 status=200 dur=1.0403ms
t=2026-05-22T20:16:09+0300 lvl=info msg=start pg=/api/tunnels id=9ad5d1b949cd147e
t=2026-05-22T20:16:09+0300 lvl=info msg=end pg=/api/tunnels id=9ad5d1b949cd147e status=200 dur=38.8875ms
t=2026-05-22T20:17:02+0300 lvl=info msg="join connections" obj=join id=6cb32cb29bd6 l=127.0.0.1:4173 r=149.154.161.217:57876
t=2026-05-22T20:17:53+0300 lvl=info msg="join connections" obj=join id=dfbb2d766538 l=127.0.0.1:4173 r=45.15.128.188:54150
t=2026-05-22T20:20:58+0300 lvl=info msg="join connections" obj=join id=e0f158e53ece l=127.0.0.1:4173 r=45.15.128.171:51026
t=2026-05-22T20:21:17+0300 lvl=info msg="join connections" obj=join id=34114e751ca5 l=127.0.0.1:4173 r=45.15.128.188:43664
t=2026-05-22T20:21:17+0300 lvl=info msg="join connections" obj=join id=4dcbb389c0e6 l=127.0.0.1:4173 r=45.15.128.188:43664
t=2026-05-22T20:21:17+0300 lvl=info msg="join connections" obj=join id=06b3110f86f2 l=127.0.0.1:4173 r=45.15.128.188:43664
t=2026-05-22T20:21:17+0300 lvl=info msg="join connections" obj=join id=7e7e7891be57 l=127.0.0.1:4173 r=45.15.128.188:43664
t=2026-05-22T20:21:17+0300 lvl=info msg="join connections" obj=join id=9b8aeaedaa58 l=127.0.0.1:4173 r=45.15.128.188:43664
t=2026-05-22T20:21:17+0300 lvl=info msg="join connections" obj=join id=20f3fb9f7b6e l=127.0.0.1:4173 r=45.15.128.188:43664
t=2026-05-22T20:21:17+0300 lvl=info msg="join connections" obj=join id=799db4fa5107 l=127.0.0.1:4173 r=45.15.128.188:43664
t=2026-05-22T20:21:17+0300 lvl=info msg="join connections" obj=join id=9e9d26b98322 l=127.0.0.1:4173 r=45.15.128.188:43664
t=2026-05-22T20:21:17+0300 lvl=info msg="join connections" obj=join id=d549d8f6cf28 l=127.0.0.1:4173 r=45.15.128.188:43664
t=2026-05-22T20:21:54+0300 lvl=info msg="join connections" obj=join id=2772785e86a4 l=127.0.0.1:4173 r=45.15.128.188:43664
t=2026-05-22T20:25:24+0300 lvl=info msg="join connections" obj=join id=cdb0f96b3a3d l=127.0.0.1:4173 r=45.15.128.171:34184
t=2026-05-22T20:30:02+0300 lvl=info msg="join connections" obj=join id=759a1fe425bf l=127.0.0.1:4173 r=45.15.128.171:37720
t=2026-05-22T20:30:39+0300 lvl=info msg="join connections" obj=join id=90c16acd0b71 l=127.0.0.1:4173 r=45.15.128.188:47028
t=2026-05-22T20:30:40+0300 lvl=info msg="join connections" obj=join id=e2a0965d013c l=127.0.0.1:4173 r=45.15.128.188:47028
t=2026-05-22T20:30:41+0300 lvl=info msg="join connections" obj=join id=79154950a4c0 l=127.0.0.1:4173 r=45.15.128.188:60486
t=2026-05-22T20:30:41+0300 lvl=info msg="join connections" obj=join id=09b87a793079 l=127.0.0.1:4173 r=45.15.128.188:60486
t=2026-05-22T20:30:57+0300 lvl=info msg="join connections" obj=join id=066870fc5dfb l=127.0.0.1:4173 r=45.15.128.188:60486
t=2026-05-22T20:30:57+0300 lvl=info msg="join connections" obj=join id=b66450934fb9 l=127.0.0.1:4173 r=45.15.128.188:60486
t=2026-05-22T20:30:57+0300 lvl=info msg="join connections" obj=join id=03f591bbf078 l=127.0.0.1:4173 r=45.15.128.188:60486
